frame vehicles pedestrian wait
528 9 0 804 
529 9 0 811 
530 9 0 818 
531 9 0 825 
532 9 0 832 
533 9 0 785 
534 9 0 793 
535 9 0 801 
536 9 0 809 
537 9 0 817 
538 9 0 747 
539 9 0 754 
540 9 0 761 
541 9 0 769 
542 9 0 777 
543 9 0 774 
544 9 0 781 
545 9 0 787 
546 9 0 793 
547 9 0 799 
548 9 0 806 
549 9 0 812 
550 9 0 819 
551 8 0 814 
552 8 0 821 
553 8 0 829 
554 8 0 837 
555 8 0 844 
556 8 0 850 
557 8 0 858 
558 8 0 866 
559 8 0 874 
560 8 0 882 
561 8 0 890 
562 8 0 898 
563 8 0 906 
564 8 0 914 
565 8 0 922 
566 8 0 930 
567 8 0 937 
568 8 0 944 
569 8 0 952 
570 8 0 960 
571 8 0 968 
572 8 0 976 
573 8 0 984 
574 8 0 992 
575 8 0 1000 
576 8 0 1008 
577 8 0 1016 
578 8 0 1024 
579 8 0 972 
580 8 0 978 
581 8 0 986 
582 8 0 994 
583 9 0 1002 
584 9 0 1010 
585 9 0 1018 
586 9 0 1026 
587 9 0 1034 
588 9 0 1042 
589 9 0 1050 
590 10 0 1058 
591 10 0 1067 
592 10 0 1063 
593 10 0 1071 
594 10 0 1079 
595 10 0 1087 
596 10 0 1095 
597 10 0 1103 
598 10 0 1111 
599 10 0 1119 
600 10 0 1127 
601 10 0 1135 
602 10 0 1143 
603 9 0 1151 
604 8 0 1158 
605 8 0 1166 
606 8 0 1174 
607 8 0 1182 
608 8 0 1190 
609 8 0 1198 
610 8 0 1206 
611 8 0 1214 
612 8 0 1222 
613 8 0 1230 
614 8 0 1238 
615 8 0 1246 
616 8 0 1254 
617 8 0 1261 
618 8 0 1268 
619 8 0 1275 
620 8 0 1283 
621 8 0 1291 
622 8 0 1215 
623 8 0 1223 
624 8 0 1231 
625 8 0 1239 
626 8 0 1247 
627 8 0 1222 
628 8 0 1230 
629 9 0 1238 
630 9 0 1247 
631 9 0 1256 
632 9 1 1173 
633 9 1 1181 
634 10 1 1190 
635 10 1 1200 
636 10 1 1205 
637 10 2 1213 
638 10 2 1222 
639 10 2 1231 
640 10 2 1242 
641 10 2 1251 
642 10 2 1262 
643 10 2 1273 
644 10 2 1283 
645 10 1 1290 
646 10 1 1299 
647 10 1 1309 
648 10 1 1318 
649 10 1 1326 
650 10 1 1336 
651 10 1 1344 
652 10 1 1353 
653 10 1 1362 
654 10 1 1371 
655 10 1 1380 
656 10 1 1389 
657 9 1 1385 
658 9 1 1394 
659 9 2 1402 
660 9 2 1411 
661 9 2 1421 
662 9 2 1431 
663 9 2 1438 
664 9 1 1447 
665 9 1 1456 
666 10 1 1466 
667 11 1 1477 
668 11 1 1487 
669 11 1 1497 
670 11 1 1505 
671 11 1 1513 
672 11 1 1523 
673 11 1 1533 
674 11 1 1543 
675 11 1 1513 
676 11 1 1522 
677 11 1 1529 
678 11 1 1538 
679 12 1 1547 
680 12 0 1556 
681 12 0 1567 
682 11 0 1574 
683 11 0 1583 
684 11 0 1593 
685 11 0 1603 
686 11 0 1613 
687 11 0 1622 
688 11 0 1630 
689 11 0 1640 
690 11 0 1650 
691 11 0 1660 
692 11 0 1670 
693 11 1 1680 
694 11 1 1687 
695 11 1 1507 
696 11 1 1517 
697 11 1 1528 
698 11 1 1538 
699 11 1 1548 
700 11 1 1558 
701 11 1 1568 
702 11 1 1578 
703 11 1 1525 
704 11 1 1536 
705 11 1 1547 
706 11 0 1556 
707 11 0 1564 
708 11 0 1575 
709 11 0 1586 
710 11 0 1597 
711 11 0 1604 
712 11 0 1612 
713 11 0 1623 
714 11 0 1634 
715 11 0 1644 
716 11 0 1336 
717 11 0 1347 
718 11 0 1356 
719 11 0 1366 
720 11 0 1360 
721 11 0 1370 
722 11 0 1380 
723 11 0 1389 
724 11 0 1397 
725 12 0 1407 
726 12 0 1418 
727 12 0 1428 
728 12 0 1438 
729 12 0 1448 
730 12 0 1456 
731 12 0 1464 
732 12 0 1474 
733 12 0 1484 
734 12 0 1494 
735 12 0 1504 
736 11 0 1509 
737 11 0 1520 
738 11 0 1530 
739 11 0 1540 
740 11 0 1550 
741 11 0 1560 
742 11 0 1142 
743 11 0 1153 
744 11 0 1039 
745 11 0 1049 
746 11 0 1059 
747 11 0 1039 
748 11 0 1049 
749 11 0 1054 
750 11 0 1063 
751 12 0 480 
752 12 0 488 
753 12 0 496 
754 12 0 495 
755 12 0 503 
756 11 0 461 
757 11 0 470 
758 11 0 479 
759 11 0 223 
760 11 0 231 
761 11 0 203 
762 11 0 212 
763 11 0 213 
764 11 0 222 
765 11 0 231 
766 11 0 226 
767 11 0 235 
768 12 0 229 
769 12 0 240 
770 12 0 251 
771 12 0 251 
772 12 0 260 
773 11 0 93 
774 11 0 97 
775 11 0 98 
776 11 0 106 
777 12 0 114 
778 12 0 110 
779 13 0 119 
780 13 0 121 
781 13 0 130 
782 13 0 139 
783 13 0 127 
784 12 0 130 
785 11 0 105 
786 10 0 112 
787 12 0 107 
788 13 0 117 
789 13 0 128 
790 13 0 114 
791 13 0 124 
792 13 0 126 
793 13 0 133 
794 13 0 143 
795 13 0 132 
796 13 0 142 
797 13 0 123 
798 13 0 134 
799 13 0 131 
800 12 0 140 
801 13 0 151 
802 13 0 146 
803 12 0 152 
804 12 0 146 
805 13 0 154 
806 13 0 112 
807 13 0 120 
808 13 0 128 
809 13 0 122 
810 13 0 131 
811 14 0 121 
812 14 0 131 
813 14 0 141 
814 13 0 125 
815 12 0 131 
816 11 0 13 
817 11 0 23 
818 11 0 22 
819 11 0 24 
820 10 0 29 
821 10 0 21 
822 10 0 30 
823 10 0 13 
824 10 0 22 
825 11 0 31 
826 11 0 27 
827 11 0 35 
828 11 0 11 
829 11 0 19 
830 11 0 19 
831 10 0 25 
832 11 0 33 
833 11 0 25 
834 11 0 34 
835 11 0 20 
836 11 0 27 
837 12 0 34 
838 12 0 29 
839 12 0 36 
840 10 0 13 
841 9 0 19 
842 9 0 20 
843 9 0 27 
844 9 0 34 
845 9 0 10 
846 9 0 17 
847 9 0 14 
848 9 0 21 
849 8 0 26 
850 8 0 8 
851 7 0 12 
852 7 0 0 
853 7 0 7 
854 7 0 7 
855 7 0 11 
856 7 0 17 
857 7 0 2 
858 7 0 8 
859 7 0 2 
860 7 0 8 
861 7 0 14 
862 7 0 2 
863 7 0 8 
864 7 0 2 
865 7 0 8 
866 7 0 5 
867 6 0 6 
868 6 0 11 
869 6 0 8 
870 6 0 8 
871 6 0 6 
872 6 0 9 
873 7 0 12 
874 7 0 6 
875 7 0 9 
876 7 0 6 
877 7 0 9 
878 8 0 6 
879 7 0 8 
880 8 0 12 
881 7 0 3 
882 7 0 8 
883 6 0 5 
884 6 0 6 
885 7 0 9 
886 7 0 4 
887 6 0 8 
888 6 0 7 
889 6 0 8 
890 6 0 6 
891 6 0 9 
892 6 0 12 
893 6 0 6 
894 6 0 9 
895 6 0 7 
896 5 0 7 
897 4 0 7 
898 5 0 3 
899 5 0 6 
900 5 0 6 
901 5 0 6 
902 4 0 3 
903 4 0 5 
904 4 0 7 
905 4 0 3 
906 4 0 5 
907 4 0 3 
908 3 0 4 
909 3 0 6 
910 3 0 4 
911 3 0 5 
912 3 0 4 
913 2 0 3 
962 2 0 3 
963 2 0 3 
964 3 0 3 
965 3 0 4 
966 3 0 5 
972 3 0 5 
973 3 0 5 
974 4 0 5 
975 4 0 6 
976 4 0 5 
977 4 0 6 
978 4 0 8 
979 3 0 8 
980 3 0 9 
981 3 0 10 
982 3 0 11 
983 3 0 12 
984 3 0 7 
985 3 0 8 
986 2 0 5 
987 2 0 6 
988 2 0 7 
989 2 0 5 
990 2 0 6 
991 3 0 5 
992 3 0 7 
993 2 0 2 
994 2 0 4 
995 3 0 6 
996 3 0 1 
997 3 0 4 
998 3 0 3 
999 3 0 6 
1000 4 0 9 
1001 4 0 7 
1002 4 0 11 
1003 4 0 11 
1004 4 0 15 
1005 4 0 10 
1006 4 0 14 
1007 4 0 18 
1008 4 0 16 
1009 4 0 20 
1010 4 0 19 
1011 4 0 17 
1012 4 0 20 
1013 4 0 15 
1014 4 0 18 
1015 5 0 16 
1016 5 0 19 
1017 5 0 18 
1018 5 0 21 
1019 5 0 23 
1020 5 0 18 
1021 5 0 20 
1022 6 0 18 
1023 5 0 6 
1024 5 0 9 
1025 5 0 6 
1026 5 0 9 
1027 4 0 7 
1028 4 0 10 
1029 5 0 2 
1030 5 0 6 
1031 5 0 10 
1032 5 0 5 
1033 4 0 7 
1034 4 0 7 
1035 4 0 11 
1036 4 0 7 
1037 4 0 11 
1038 4 0 15 
1039 4 0 10 
1040 4 0 14 
1041 4 0 14 
1042 4 0 17 
1043 5 0 20 
1044 5 0 18 
1045 5 0 22 
1046 5 0 22 
1047 5 0 27 
1048 5 0 25 
1049 5 0 29 
1050 5 0 34 
1051 5 0 27 
1052 5 0 32 
1053 5 0 33 
1054 5 0 38 
1055 5 0 43 
1056 5 0 42 
1057 5 0 47 
1058 5 0 12 
1059 5 0 17 
1060 5 0 16 
1061 5 0 21 
1062 6 0 26 
1063 6 0 26 
1064 6 0 31 
1065 6 0 32 
1066 6 0 37 
